context_path,absolute_path,n_rows,n_cols,table_missing_ratio,n_numeric_cols_est,n_cols_mostly_empty,avg_col_cardinality,median_col_cardinality,avg_cell_length,has_duplicate_column_names,duplicate_column_names
csv/204-csv/227.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\227.csv,16,6,0.0,1,0,13.5,16.0,6.635,False,
csv/204-csv/299.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\299.csv,127,4,0.0,2,0,64.25,69.0,7.478,False,
csv/201-csv/21.csv,WikiTableQuestions\WikiTableQuestions\csv\201-csv\21.csv,26,4,0.0,1,1,16.75,20.0,9.933,False,
csv/204-csv/475.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\475.csv,8,5,0.0,0,0,6.2,7.0,7.0,False,
csv/202-csv/184.csv,WikiTableQuestions\WikiTableQuestions\csv\202-csv\184.csv,5,5,0.2,2,1,3.2,3.0,9.76,False,
csv/204-csv/430.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\430.csv,13,6,0.089744,0,1,8.833,9.0,24.272,False,
csv/203-csv/774.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\774.csv,7,6,0.0,1,0,6.0,6.5,13.286,False,
csv/204-csv/849.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\849.csv,8,4,0.0,1,0,6.5,6.5,7.812,False,
csv/203-csv/812.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\812.csv,26,6,0.0,5,0,12.5,8.5,2.154,False,
csv/203-csv/36.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\36.csv,7,5,0.2,1,1,5.4,7.0,12.1,False,
csv/204-csv/256.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\256.csv,22,10,0.0,9,0,15.8,18.0,2.882,False,
csv/203-csv/95.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\95.csv,34,5,0.0,5,0,24.8,29.0,2.376,False,
csv/203-csv/580.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\580.csv,36,7,0.34127,1,2,12.714,8.0,13.317,False,
csv/204-csv/6.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\6.csv,10,5,0.0,1,0,10.0,10.0,19.92,False,
csv/203-csv/577.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\577.csv,31,5,0.0,2,0,25.8,30.0,6.219,False,
csv/203-csv/743.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\743.csv,14,6,0.214286,1,2,6.667,5.5,7.364,False,
csv/204-csv/873.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\873.csv,7,8,0.0,1,0,6.5,7.0,12.827,False,
csv/203-csv/569.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\569.csv,128,4,0.0,1,0,76.75,73.5,7.002,False,
csv/204-csv/552.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\552.csv,18,5,0.0,2,0,11.2,18.0,6.122,False,
csv/204-csv/144.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\144.csv,16,5,0.0,2,0,10.2,11.0,8.913,False,
csv/204-csv/879.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\879.csv,18,6,0.0,1,0,11.333,11.0,8.699,False,
csv/203-csv/136.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\136.csv,47,8,0.0,1,1,14.125,8.5,13.493,False,
csv/204-csv/920.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\920.csv,8,10,0.0,2,0,5.9,6.5,7.575,False,
csv/204-csv/946.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\946.csv,26,8,0.0,4,0,20.125,22.0,5.88,False,
csv/203-csv/175.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\175.csv,21,6,0.0,5,0,7.833,4.5,3.201,False,
csv/204-csv/172.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\172.csv,11,6,0.0,1,0,7.5,8.0,9.406,False,
csv/203-csv/558.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\558.csv,7,5,0.0,3,0,6.8,7.0,5.709,False,
csv/202-csv/73.csv,WikiTableQuestions\WikiTableQuestions\csv\202-csv\73.csv,30,4,0.0,0,0,23.5,23.5,11.55,False,
csv/204-csv/387.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\387.csv,38,7,0.0,2,0,18.714,15.0,11.662,False,
csv/204-csv/961.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\961.csv,12,6,0.0,0,0,9.5,10.0,44.173,False,
csv/204-csv/664.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\664.csv,60,8,0.0,2,0,49.625,55.0,7.033,False,
csv/204-csv/363.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\363.csv,8,10,0.0,1,0,6.1,7.0,13.686,False,
csv/203-csv/698.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\698.csv,13,8,0.0,5,0,9.75,9.0,4.625,False,
csv/203-csv/634.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\634.csv,29,6,0.0,0,1,16.5,18.5,13.686,False,
csv/204-csv/725.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\725.csv,16,6,0.0,5,0,8.0,6.0,3.302,False,
csv/203-csv/652.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\652.csv,15,7,0.0,1,0,9.429,9.0,13.924,False,
csv/203-csv/322.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\322.csv,14,9,0.0,7,1,9.556,10.0,3.532,False,
csv/203-csv/375.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\375.csv,17,6,0.0,1,0,12.667,13.0,15.701,False,
csv/204-csv/847.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\847.csv,14,7,0.0,1,0,11.286,11.0,8.49,False,
csv/203-csv/799.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\799.csv,13,6,0.0,1,0,5.167,4.5,7.923,False,
csv/203-csv/611.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\611.csv,25,5,0.0,1,0,22.8,25.0,11.184,False,
csv/203-csv/727.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\727.csv,13,5,0.0,1,0,9.0,7.0,18.475,False,
csv/204-csv/615.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\615.csv,34,6,0.0,0,0,25.5,25.5,14.885,False,
csv/203-csv/873.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\873.csv,8,9,0.0,2,1,4.556,5.0,12.375,False,
csv/204-csv/260.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\260.csv,24,6,0.0,1,0,13.167,12.0,10.319,False,
csv/204-csv/246.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\246.csv,10,6,0.0,5,0,6.667,8.0,2.183,False,
csv/203-csv/393.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\393.csv,30,5,0.0,1,1,23.6,25.0,34.888,False,
csv/204-csv/332.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\332.csv,8,5,0.0,3,0,7.2,7.0,7.65,False,
csv/204-csv/109.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\109.csv,22,6,0.0,1,0,14.167,16.5,18.469,False,
csv/203-csv/312.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\312.csv,55,6,0.0,1,0,26.333,29.5,7.214,False,
csv/203-csv/570.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\570.csv,12,6,0.0,2,0,11.0,12.0,11.889,False,
csv/203-csv/631.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\631.csv,9,5,0.0,2,0,8.6,9.0,23.719,False,
csv/204-csv/568.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\568.csv,8,10,0.0,0,0,7.1,8.0,14.025,False,
csv/203-csv/703.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\703.csv,66,5,0.0,1,0,37.8,37.0,8.9,False,
csv/203-csv/470.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\470.csv,18,8,0.0,2,1,6.375,5.0,8.968,False,
csv/203-csv/198.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\198.csv,7,9,0.0,6,0,3.667,4.0,6.238,False,
csv/203-csv/246.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\246.csv,13,7,0.0,4,0,6.857,6.0,4.439,False,
csv/203-csv/367.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\367.csv,17,5,0.0,1,0,9.6,12.0,10.235,False,
csv/204-csv/356.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\356.csv,46,4,0.0,2,0,21.75,21.5,8.978,False,
csv/204-csv/891.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\891.csv,7,4,0.0,1,0,7.0,7.0,4.857,False,
csv/203-csv/603.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\603.csv,11,6,0.136364,0,1,6.667,6.5,23.598,False,
csv/204-csv/471.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\471.csv,15,5,0.186667,1,1,7.2,8.0,9.36,False,
csv/203-csv/601.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\601.csv,36,7,0.0,4,0,31.429,33.0,5.425,False,
csv/203-csv/535.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\535.csv,43,6,0.0,5,0,16.167,8.0,2.504,False,
csv/204-csv/89.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\89.csv,32,7,0.0,1,0,25.714,28.0,12.503,False,
csv/204-csv/610.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\610.csv,15,5,0.0,1,0,13.2,15.0,11.08,False,
csv/204-csv/984.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\984.csv,19,8,0.0,0,0,14.625,18.5,5.342,False,
csv/204-csv/643.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\643.csv,8,5,0.0,1,1,6.0,7.0,30.742,False,
csv/204-csv/650.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\650.csv,41,6,0.060976,3,0,18.5,14.5,6.09,False,
csv/203-csv/139.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\139.csv,16,6,0.0,0,0,13.5,15.0,22.261,False,
csv/203-csv/563.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\563.csv,60,9,0.159259,1,2,32.0,24.0,8.769,False,
csv/204-csv/335.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\335.csv,8,8,0.0,2,0,4.75,4.5,10.547,False,
csv/204-csv/536.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\536.csv,29,5,0.0,0,0,28.6,29.0,14.31,False,
csv/204-csv/605.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\605.csv,8,7,0.0,0,0,6.0,6.0,10.833,False,
csv/204-csv/654.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\654.csv,17,7,0.336134,2,3,8.714,7.0,7.004,False,
csv/204-csv/668.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\668.csv,9,5,0.0,1,0,7.4,9.0,10.067,False,
csv/204-csv/608.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\608.csv,31,5,0.0,0,0,22.0,22.0,17.135,False,
csv/204-csv/23.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\23.csv,54,8,0.006944,3,0,36.25,39.5,17.326,False,
csv/203-csv/189.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\189.csv,6,5,0.0,1,0,3.8,4.0,10.133,False,
csv/203-csv/568.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\568.csv,123,6,0.0,1,0,85.833,107.5,12.625,False,
csv/204-csv/343.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\343.csv,20,5,0.0,0,0,11.8,12.0,13.9,False,
csv/203-csv/4.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\4.csv,38,5,0.0,0,0,20.6,14.0,13.921,False,
csv/203-csv/288.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\288.csv,10,8,0.0,1,0,9.0,10.0,21.6,False,
csv/203-csv/314.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\314.csv,12,6,0.055556,5,0,5.5,4.0,2.125,False,
csv/203-csv/190.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\190.csv,16,6,0.0,0,2,8.0,8.5,21.051,False,
csv/204-csv/422.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\422.csv,8,6,0.0,2,1,6.167,7.0,5.896,False,
csv/204-csv/969.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\969.csv,13,5,0.0,1,0,8.2,7.0,29.815,False,
csv/204-csv/223.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\223.csv,9,6,0.0,5,0,6.0,6.0,3.055,False,
csv/204-csv/575.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\575.csv,16,9,0.0,6,0,6.0,4.0,2.514,False,
csv/204-csv/952.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\952.csv,11,6,0.0,2,0,8.5,9.0,5.47,False,
csv/204-csv/809.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\809.csv,21,9,0.063492,3,1,16.778,21.0,7.42,False,
csv/204-csv/806.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\806.csv,12,5,0.0,0,0,8.8,10.0,22.814,False,
csv/204-csv/476.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\476.csv,8,8,0.375,0,1,3.75,3.0,6.753,False,
csv/204-csv/102.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\102.csv,21,9,0.0,3,0,12.889,13.0,18.067,False,
csv/203-csv/592.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\592.csv,8,9,0.0,0,0,8.0,8.0,15.458,False,
csv/204-csv/956.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\956.csv,33,8,0.0,1,0,32.75,33.0,5.292,False,
csv/204-csv/741.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\741.csv,15,8,0.058333,1,0,7.0,4.0,3.827,False,
csv/203-csv/362.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\362.csv,24,8,0.0,6,0,14.75,14.0,5.552,False,
csv/203-csv/668.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\668.csv,21,8,0.0,8,0,18.75,20.0,3.167,False,
csv/203-csv/121.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\121.csv,25,5,0.0,2,0,9.6,5.0,7.08,False,
csv/204-csv/836.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\836.csv,14,6,0.0,2,0,7.5,8.0,10.726,False,
csv/204-csv/229.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\229.csv,10,8,0.0125,0,0,9.0,10.0,10.889,False,
csv/204-csv/32.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\32.csv,10,11,0.0,3,0,6.818,7.0,6.095,False,
csv/204-csv/255.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\255.csv,9,5,0.0,1,1,6.4,9.0,6.155,False,
csv/203-csv/554.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\554.csv,13,5,0.0,1,0,12.4,12.0,31.631,False,
csv/203-csv/502.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\502.csv,29,6,0.0,5,0,10.167,7.0,2.868,False,
csv/203-csv/145.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\145.csv,20,10,0.0,8,0,13.8,15.0,3.13,False,
csv/203-csv/102.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\102.csv,7,6,0.0,1,0,5.667,5.5,10.857,False,
csv/203-csv/691.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\691.csv,16,5,0.0125,1,0,15.6,16.0,9.893,False,
csv/204-csv/336.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\336.csv,10,5,0.0,0,0,6.0,6.0,19.399,False,
csv/204-csv/794.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\794.csv,27,8,0.018519,0,0,9.125,4.5,5.903,False,
csv/204-csv/948.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\948.csv,32,5,0.0,1,0,14.4,13.0,16.7,False,
csv/203-csv/296.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\296.csv,55,5,0.0,3,0,49.2,51.0,5.216,False,
csv/203-csv/60.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\60.csv,9,7,0.0,1,0,6.143,8.0,9.968,False,
csv/204-csv/413.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\413.csv,37,5,0.0,0,0,14.8,8.0,12.227,False,
csv/203-csv/643.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\643.csv,9,5,0.0,1,0,4.8,5.0,15.222,False,
csv/203-csv/517.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\517.csv,18,7,0.0,2,0,11.429,14.0,7.429,False,
csv/204-csv/557.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\557.csv,10,7,0.0,2,0,7.857,8.0,6.443,False,
csv/204-csv/20.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\20.csv,7,5,0.0,1,0,6.8,7.0,14.486,False,
csv/203-csv/17.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\17.csv,77,7,0.0,1,1,41.714,44.0,10.547,False,
csv/204-csv/467.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\467.csv,42,6,0.0,0,0,18.167,15.5,8.241,False,
csv/204-csv/346.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\346.csv,10,7,0.0,2,0,7.571,9.0,9.057,False,
csv/204-csv/786.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\786.csv,11,9,0.0,1,0,8.667,11.0,18.774,False,
csv/203-csv/223.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\223.csv,7,7,0.0,2,0,6.143,7.0,22.302,False,
csv/203-csv/3.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\3.csv,8,6,0.0,1,0,8.0,8.0,10.25,False,
csv/204-csv/451.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\451.csv,18,7,0.0,0,0,16.571,17.0,12.035,False,
csv/204-csv/358.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\358.csv,20,8,0.0,1,0,16.0,16.0,8.025,False,
csv/203-csv/43.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\43.csv,22,5,0.0,2,1,12.4,17.0,7.585,False,
csv/204-csv/25.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\25.csv,16,7,0.0,1,0,14.0,16.0,16.741,False,
csv/204-csv/944.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\944.csv,14,6,0.0,0,0,8.167,9.5,25.397,False,
csv/204-csv/884.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\884.csv,19,5,0.0,0,0,11.8,10.0,13.474,False,
csv/204-csv/445.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\445.csv,6,5,0.0,1,1,3.8,4.0,11.433,False,
csv/204-csv/804.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\804.csv,8,6,0.1875,1,1,5.167,5.0,32.964,False,
csv/204-csv/357.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\357.csv,11,5,0.0,1,0,6.4,7.0,6.516,False,
csv/204-csv/843.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\843.csv,14,8,0.0,4,0,10.625,13.0,5.61,False,
csv/204-csv/592.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\592.csv,108,7,0.010582,1,0,87.143,98.0,24.687,False,
csv/204-csv/816.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\816.csv,10,6,0.0,0,1,5.833,6.0,11.367,False,
csv/204-csv/928.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\928.csv,10,5,0.0,1,0,7.0,8.0,15.3,False,
csv/204-csv/157.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\157.csv,9,5,0.0,0,0,6.8,8.0,12.4,False,
csv/204-csv/500.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\500.csv,28,5,0.235714,2,1,12.6,10.0,10.55,False,
csv/202-csv/178.csv,WikiTableQuestions\WikiTableQuestions\csv\202-csv\178.csv,35,4,0.0,0,1,22.0,28.0,17.667,False,
csv/204-csv/162.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\162.csv,26,7,0.0,1,0,12.571,9.0,8.456,False,
csv/204-csv/679.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\679.csv,10,6,0.0,1,0,7.167,7.0,7.65,False,
csv/204-csv/31.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\31.csv,27,6,0.030864,1,0,25.667,26.0,10.766,False,
csv/202-csv/250.csv,WikiTableQuestions\WikiTableQuestions\csv\202-csv\250.csv,18,1,0.0,0,0,18.0,18.0,334.722,False,
csv/204-csv/533.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\533.csv,14,9,0.0,8,0,12.778,13.0,4.266,False,
csv/203-csv/324.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\324.csv,17,5,0.0,0,0,17.0,17.0,2.094,False,
csv/202-csv/76.csv,WikiTableQuestions\WikiTableQuestions\csv\202-csv\76.csv,17,3,0.0,0,0,11.667,12.0,9.481,False,
csv/203-csv/385.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\385.csv,11,8,0.0,3,0,9.875,11.0,6.393,False,
csv/204-csv/967.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\967.csv,10,5,0.0,2,0,9.4,10.0,6.32,False,
csv/204-csv/916.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\916.csv,10,9,0.277778,6,1,3.0,1.0,10.222,False,
csv/204-csv/330.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\330.csv,8,6,0.0,0,1,6.333,8.0,8.43,False,
csv/203-csv/583.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\583.csv,8,5,0.0,1,2,2.8,1.0,27.65,False,
csv/204-csv/550.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\550.csv,34,6,0.0,0,1,23.167,26.5,20.01,False,
csv/203-csv/559.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\559.csv,22,6,0.0,1,1,17.833,21.0,31.399,False,
csv/204-csv/294.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\294.csv,12,8,0.0,0,0,8.875,9.0,10.279,False,
csv/203-csv/174.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\174.csv,26,5,0.0,2,0,23.0,26.0,11.115,False,
csv/203-csv/197.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\197.csv,25,5,0.0,2,0,18.0,25.0,8.743,False,
csv/204-csv/360.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\360.csv,17,5,0.0,1,0,10.0,9.0,8.706,False,
csv/204-csv/7.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\7.csv,13,5,0.0,1,0,12.2,13.0,18.937,False,
csv/203-csv/209.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\209.csv,53,7,0.0,3,0,23.714,24.0,6.862,False,
csv/204-csv/39.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\39.csv,12,13,0.0,6,4,7.846,8.0,6.859,False,
csv/204-csv/572.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\572.csv,58,7,0.0,1,0,57.571,58.0,6.135,False,
csv/204-csv/226.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\226.csv,9,6,0.148148,0,1,6.0,7.5,18.037,False,
csv/203-csv/339.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\339.csv,8,9,0.0,8,0,6.222,6.0,3.542,False,
csv/204-csv/577.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\577.csv,12,6,0.0,0,0,7.167,7.0,18.861,False,
csv/201-csv/27.csv,WikiTableQuestions\WikiTableQuestions\csv\201-csv\27.csv,76,4,0.029605,1,0,55.75,63.5,15.511,False,
csv/204-csv/529.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\529.csv,9,5,0.022222,2,0,6.8,6.0,14.789,False,
csv/204-csv/713.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\713.csv,94,6,0.0,2,0,72.833,72.0,6.997,False,
csv/204-csv/179.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\179.csv,10,6,0.166667,4,1,4.5,5.0,3.417,False,
csv/203-csv/357.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\357.csv,617,1,0.0,0,0,617.0,617.0,49.021,False,
csv/204-csv/837.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\837.csv,8,7,0.0,0,0,4.857,4.0,15.875,False,
